"","x"
"1","China"
"2","China"
"3","NEW YORK"
"4","China"
"5","Far West"
"6","Kentucky"
"7","India"
"8","West"
"9","China"
"10","China"
"11","Hong Kong"
"12","Shanghai Bank"
"13","SACRED                          180      X."
"14","CHINA"
"15","TIBET"
"16","New York"
"17","Upper Burma"
"18","Tonking"
"19","West China"
"20","Burma"
"21","Hong Kong"
"22","Red River"
"23","Hong Kong"
"24","Europe"
"25","Hong Kong"
"26","Shanghai"
"27","Great River"
"28","Shanghai"
"29","Hong Kong"
"30","North Mongolia"
"31","Japan"
"32","Hong Kong"
"33","Fort Bayard"
"34","China"
"35","Hong Kong"
"36","Fort Bayard"
"37","Hong Kong"
"38","Fort Bayard"
"39","France"
"40","America"
"41","Indo-China"
"42","Africa"
"43","Asia"
"44","China"
"45","France"
"46","China"
"47","Hainan"
"48","China"
"49","Red River valley"
"50","China"
"51","Yunnan-fu"
"52","West River"
"53","England"
"54","India"
"55","Red River"
"56","China"
"57","Ho-k'ou"
"58","Lao-kai"
"59","Massachusetts"
"60","India"
"61","China"
"62","Frenchified"
"63","Chinese"
"64","Canton"
"65","China"
"66","Middle Kingdom"
"67","French"
"68","Canton"
"69","Burma"
"70","New York"
"71","New England"
"72","America"
"73","New York"
"74","America"
"75","Golden Temple"
"76","Jack"
"77","Yunnan-fu"
"78","Hong Kong"
"79","Shanghai Bank"
"80","Shanghai"
"81","West China"
"82","Tibet"
"83","Hong Kong"
"84","Eastern"
"85","China"
"86","Japan"
"87","Singapore"
"88","Canada"
"89","Panama"
"90","Western Tibet"
"91","Red River"
"92","New England"
"93","Great River"
"94","Tibet"
"95","Great River"
"96","China"
"97","Chengtu"
"98","Cloud Mountains"
"99","China"
"100","Boston"
"101","America"
"102","China"
"103","Hui-li-chou"
"104","China"
"105","Hui-li"
"106","North Gate"
"107","East"
"108","China"
"109","West China"
"110","China"
"111","Min River"
"112","China"
"113","Marco Polo"
"114","Mountains"
"115","China"
"116","China"
"117","Ning-yüan"
"118","China"
"119","Asia"
"120","Ning-yüan"
"121","China"
"122","Ning-yüan"
"123","Maine"
"124","China"
"125","Ning-yüan"
"126","China"
"127","Hong Kong"
"128","Canton"
"129","America"
"130","Washington"
"131","Western"
"132","China"
"133","Mien-ning"
"134","New England"
"135","New England"
"136","China"
"137","Ta-shu-p'u"
"138","West China"
"139","Chengtu"
"140","Kwangtung"
"141","Mercury"
"142","China"
"143","India"
"144","Ning-po"
"145","Hong Kong"
"146","Shanghai Bank"
"147","Phoenix"
"148","China"
"149","India"
"150","China"
"151","Tibet"
"152","Great River"
"153","China"
"154","Tibet"
"155","Western Tibet"
"156","Mountains"
"157","Wa"
"158","Asia"
"159","China"
"160","Tibet"
"161","Middle Kingdom"
"162","Tibet"
"163","China"
"164","Tibet"
"165","Mont Blanc"
"166","Tibet"
"167","Middle Kingdom"
"168","Tibet"
"169","Assam"
"170","Tibet"
"171","China"
"172","Tachienlu"
"173","Batang"
"174","America"
"175","China"
"176","Flowery Kingdom"
"177","Mongolia"
"178","India"
"179","China"
"180","Tibet"
"181","Chala"
"182","Tibet"
"183","New Palace"
"184","New England"
"185","Old Palace"
"186","West China"
"187","China"
"188","China"
"189","England"
"190","China"
"191","China"
"192","Tachienlu"
"193","King Edward"
"194","Italy"
"195","China"
"196","China"
"197","Earth"
"198","China"
"199","China"
"200","Nanking"
"201","Tibet"
"202","China"
"203","India"
"204","China"
"205","Great River"
"206","Pai-chang"
"207","Great River"
"208","China"
"209","China"
"210","Garden of"
"211","West China"
"212","Marco Polo"
"213","De Mailla"
"214","China"
"215","India"
"216","China"
"217","China"
"218","France"
"219","China"
"220","Chengtu"
"221","Min River"
"222","Chia-ting"
"223","Chia-ting"
"224","Chia-ting"
"225","Mount Omei"
"226","Chia-ting"
"227","Sacred Mountain"
"228","Süchi"
"229","Great Mountain"
"230","Omei"
"231","Omei"
"232","Delectable Mountains"
"233","Mount Omei"
"234","China"
"235","Kentucky"
"236","Mount Omei"
"237","Temple"
"238","China"
"239","China"
"240","Tibet"
"241","Mount Omei"
"242","China"
"243","Szechuan"
"244","Great River"
"245","China"
"246","Washington"
"247","Chicago"
"248","West"
"249","East"
"250","Chung-king"
"251","Shanghai"
"252","Chicago"
"253","China"
"254","Europe"
"255","Temple"
"256","Szechuan"
"257","China"
"258","China"
"259","Shanghai"
"260","Great River"
"261","China"
"262","Hankow"
"263","China"
"264","Shanghai"
"265","Peking"
"266","Canton"
"267","Canton"
"268","Bombay"
"269","China"
"270","England"
"271","China"
"272","France"
"273","China"
"274","Shanghai"
"275","China"
"276","China"
"277","United States"
"278","China"
"279","Shanghai"
"280","China"
"281","Yellow River"
"282","Peking"
"283","China"
"284","Heaven"
"285","China"
"286","Prince Ch'un"
"287","China"
"288","Berlin"
"289","America"
"290","Canton"
"291","Gobi Desert"
"292","China"
"293","Sacred Province"
"294","China"
"295","Russia"
"296","Japan"
"297","Lake Baikal"
"298","Moscow"
"299","China"
"300","Budapest"
"301","Hong Kong"
"302","West China"
"303","England"
"304","South Africa"
"305","Kalgan"
"306","Marco Polo"
"307","Mongolia"
"308","China"
"309","Russia"
"310","Russia"
"311","China"
"312","Marco Polo"
"313","Europe"
"314","Heavenly Mountains"
"315","North and"
"316","China"
"317","Mongolian"
"318","Midland Sea"
"319","United States"
"320","Urga"
"321","China"
"322","Urga"
"323","Mongol"
"324","Pacific Coast"
"325","China"
"326","Sacred"
"327","Sacred City"
"328","America"
"329","Mongolia--under Russia"
"330","Sacred City"
"331","Burma"
"332","China"
"333","Tibet"
"334","England"
"335","Russia"
"336","China"
"337","Russia"
"338","China"
"339","China"
"340","Kentucky"
"341","Kentucky"
"342","Russia"
"343","North Mongolia"
"344","Russia"
"345","Mongolia"
"346","America"
"347","China"
"348","Bombay"
"349","Shanghai"
"350","China"
"351","Russia"
"352","Europe"
"353","Asia"
"354","Russia"
"355","Moscow"
"356","Moscow"
"357","China"
"358","China"
"359","Turkey"
"360","China"
"361","West"
"362","China"
"363","Japan"
"364","India"
"365","China"
"366","China"
"367","India"
"368","China"
"369","India"
"370","China"
"371","Europe"
"372","Europe"
"373","India"
"374","Japan"
"375","China"
"376","China"
"377","America"
"378","Burma"
"379","Philippines"
"380","China Sea"
"381","Bay"
"382","Burma"
"383","New England"
"384","China"
"385","North and"
"386","India"
"387","Maine"
"388","Mississippi"
"389","Singapore"
"390","China"
"391","China"
"392","America"
"393","China"
"394","India"
"395","China"
"396","China"
"397","China"
"398","China"
"399","China"
"400","Singapore Harbour"
"401","Kwangtung"
"402","China"
"403","China"
"404","China"
"405","Afghanistan"
"406","Amur River"
"407","Red River"
"408","Anning River"
"409","Lake"
"410","Fort"
"411","West China"
"412","Yunnan"
"413","Burma"
"414","Upper"
"415","Chen River"
"416","China"
"417","Szechuan"
"418","Ch'uan River"
"419","Golden Temple"
"420","China"
"421","Tibet"
"422","China"
"423","Tibet"
"424","China"
"425","West"
"426","Red River"
"427","Prince"
"428","Cloud Mountains"
"429","Hong"
"430","Cua-Cam River"
"431","China"
"432","Yunnan"
"433","France"
"434","China"
"435","Indo-China"
"436","China"
"437","Fu River"
"438","West China"
"439","Gobi Desert"
"440","Southern Szechuan"
"441","River"
"442","Golden Temple"
"443","China"
"444","Mountains"
"445","Mountains"
"446","Great River"
"447","China"
"448","Han River"
"449","Gobi Desert"
"450","Chicago"
"451","East China"
"452","Bombay"
