,word,freq
1,flu,967
9,no,583
0,death,563
3,infected,522
19,dead,308
61,stop,255
158,suspected,230
112,died,199
57,emergency,156
46,risk,148
22,serious,140
113,fatalities,135
66,fears,126
27,critical,126
32,sick,125
105,fear,121
25,bad,107
108,fight,107
18,worse,105
33,panic,102
20,racism,100
130,crisis,94
64,threat,84
89,die,83
65,low,82
71,racist,79
73,negative,75
110,affected,72
266,killed,71
155,ban,69
126,leave,69
149,fake,69
129,avoid,65
137,illness,64
82,hard,61
24,killing,61
96,demand,61
44,wrong,60
62,shit,60
17,worry,59
154,kill,58
5,isolation,57
67,warning,56
232,worried,55
75,misinformation,54
213,problem,54
132,sad,53
240,warn,53
115,kills,53
222,fatality,52
43,ill,50
131,severe,48
352,leaked,47
360,alarm,47
287,alone,47
34,contagious,46
147,lost,43
146,dangerous,43
216,strike,42
7,seriously,42
72,fuck,42
250,warned,41
275,banned,41
284,conspiracy,41
8,victims,40
203,weapon,40
196,lies,39
160,smh,38
185,forced,37
346,isolated,37
125,warns,37
121,arrested,36
157,contagion,34
54,disaster,34
11,lower,33
214,scary,33
78,combat,33
247,lack,32
51,blame,32
90,strain,31
227,stupid,31
77,damn,30
148,poor,30
305,lying,30
223,wtf,29
291,war,29
237,exposed,29
35,danger,29
42,forget,29
187,suspended,28
316,scare,28
276,fighting,28
117,cut,27
47,attack,27
210,cancel,27
189,worst,27
195,shortage,26
176,scared,26
151,crazy,26
220,propaganda,25
13,limited,25
354,warfare,25
97,hell,25
101,trapped,24
231,battle,24
70,drop,24
140,risks,24
202,accidentally,24
239,screaming,23
119,empty,23
391,delayed,23
16,fire,23
773,dominating,23
106,uncertainty,22
226,evil,22
612,pay,22
314,cancer,22
193,illnesses,21
15,difficult,21
282,sorry,21
55,stopped,21
456,stuck,21
135,suffering,20
242,problems,20
349,vulnerable,20
221,hiding,20
254,chaos,19
364,illegal,19
277,cancelled,19
136,anxiety,18
45,shame,18
405,alarming,18
50,recession,17
453,terrifying,17
40,suspend,17
48,blaming,17
260,hate,17
93,wars,17
116,hysteria,17
618,missing,17
120,hide,17
134,failure,17
652,anger,16
280,miss,16
53,cuts,16
84,killer,16
201,trouble,15
95,shock,15
423,preventing,15
94,hurt,15
38,horrible,15
36,weak,15
340,pain,14
243,prison,14
41,worries,14
278,freaking,14
209,isolate,14
407,angry,14
522,suspect,14
298,doubt,14
23,damage,14
144,terrible,14
141,ignored,14
336,seriousness,13
252,insane,13
246,suspicious,13
179,shocking,13
99,ignore,13
118,crude,13
162,missed,13
555,weird,13
235,charged,13
29,leak,13
69,punished,13
311,accused,13
308,strange,13
398,victim,13
365,harm,12
353,accident,12
646,scares,12
186,detained,12
457,cutting,12
10,sadly,12
229,loss,12
344,fool,12
529,denied,12
449,ridiculous,12
12,shortages,12
566,horror,12
395,losing,12
323,protests,12
414,disgusting,12
142,irresponsible,12
561,dirty,12
303,avoiding,11
367,collapse,11
490,awful,11
4,imposed,11
662,censored,11
497,suffer,11
6,incompetence,11
208,fail,11
502,ignorance,11
480,threatened,11
401,sickened,11
31,anti,11
190,cautious,11
428,heartbreaking,11
651,86,11
169,ffs,11
244,threatening,11
375,attacks,11
424,crash,11
372,bullshit,10
309,failed,10
255,delay,10
289,hoax,10
256,deny,10
258,desperate,10
359,abandoned,10
348,overreaction,10
357,block,10
313,dumb,10
328,worrying,10
