"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Coin flip ""wins"" by @HillaryClinton doesn't change how happy I am for @BernieSanders. #NotMeUs #FeelTheBern #Bernie2016",FALSE,1,NA,2016-02-02 23:59:58,FALSE,NA,"694671632627953664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","N0Control07",0,FALSE,FALSE,NA,NA
"2","This Revolution Will Be Televised!  @SusanSarandon @BernieSanders @alchemistoxford @YoBenCohen #FeelTheBern",FALSE,3,"SusanSarandon",2016-02-02 23:59:58,FALSE,"694559095538503680","694671632397393920","618300542","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","NCPoliticalSpin",1,FALSE,FALSE,NA,NA
"3","@BernieSanders https://t.co/oInhKvYpl6",FALSE,0,"BernieSanders",2016-02-02 23:59:57,FALSE,NA,"694671630170247168","216776631","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hunter_Ash23",0,FALSE,FALSE,NA,NA
"4","RT @BernieSanders: What last night proved is that every single contribution matters and every volunteer shift can swing an election. https:…",FALSE,0,NA,2016-02-02 23:59:57,FALSE,NA,"694671629402529793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FixDemocracy16",1475,TRUE,FALSE,NA,NA
"5","RT @BernieSanders: The American people are ready to stand up and fight for fundamental change on how politics is done. #nhpolitics https://…",FALSE,0,NA,2016-02-02 23:59:57,FALSE,NA,"694671628240850944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OliviaNicolette",1227,TRUE,FALSE,NA,NA
"6","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:59:54,FALSE,NA,"694671617767653376",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Linda1746",1528,TRUE,FALSE,NA,NA
"7","RT @BernieSanders: We accomplished what the political establishment said was impossible. Don't underestimate us https://t.co/DeV0NhI2mi htt…",FALSE,0,NA,2016-02-02 23:59:54,FALSE,NA,"694671617394278401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1b9b8bb45fdb444",15596,TRUE,FALSE,NA,NA
"8","RT @cascamike: .@BernieSanders welcomed to new hampshire by a raucous crowd. ""what time is it?"" he asks. https://t.co/a7fcEc1Ckf",FALSE,0,NA,2016-02-02 23:59:53,FALSE,NA,"694671614705664000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yabishsmiley9",1559,TRUE,FALSE,NA,NA
"9","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:59:53,FALSE,NA,"694671612008894468",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrisciavarella",1528,TRUE,FALSE,NA,NA
"10","RT @BernieSanders: The American people are ready to stand up and fight for fundamental change on how politics is done. #nhpolitics https://…",FALSE,0,NA,2016-02-02 23:59:52,FALSE,NA,"694671608703746048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hellomisslou",1227,TRUE,FALSE,NA,NA
