"","x"
"1","trumpertantrum"
"2","trump"
"3","cruz"
"4","donald"
"5","ted"
"6","iowa"
"7","new"
"8","best"
"9","just"
"10","hashtag"
"11","twitter"
"12","dont"
"13","im"
"14","thing"
"15","hes"
"16","another"
"17","love"
"18","good"
"19","me"
"20","trumps"
"21","favorite"
"22","ever"
"23","throwing"
"24","dumptrump"
"25","says"
"26","wants"
"27","again"
"28","only"
"29","carson"
"30","us"
"31","want"
"32","cant"
"33","over"
"34","better"
"35","cheated"
"36","lol"
"37","tcot"
"38","term"
"39","throw"
"40","trending"
"41","trump2016"
"42","2016"
"43","funny"
"44","political"
"45","someone"
"46","think"
"47","today"
"48","am"
"49","candidate"
"50","fraud"
"51","ill"
"52","ive"
"53","losing"
"54","news"
"55","probably"
"56","say"
"57","should"
"58","thats"
"59","calls"
"60","campaign"
"61","didnt"
"62","gave"
"63","got"
"64","know"
"65","loser"
"66","makes"
"67","need"
"68","president"
"69","presidential"
"70","pretty"
"71","right"
"72","supporters"
"73","tweets"
"74","why"
"75","4"
"76","baby"
"77","back"
"78","because"
"79","doesnt"
"80","election"
"81","everyone"
"82","here"
"83","might"
"84","most"
"85","obamacare"
"86","stole"
"87","tedcruz"
"88","1"
"89","cruzcrew"
"90","demtownhall"
"91","fan"
"92","great"
"93","guy"
"94","having"
"95","internet"
"96","overturned"
"97","own"
"98","politics"
"99","results"
"100","sure"
"101","video"
"102","win"
"103","work"
"104","year"
"105","youre"
"106","being"
"107","cheating"
"108","donaldtrump"
"109","fun"
"110","give"
"111","going"
"112","hell"
"113","hope"
"114","latest"
"115","laughing"
"116","lost"
"117","much"
"118","never"
"119","off"
"120","phrase"
"121","place"
"122","really"
"123","republican"
"124","still"
"125","stop"
"126","support"
"127","tantrum"
"128","vote"
"129","watch"
"130","week"
"131","america"
"132","any"
"133","bad"
"134","ben"
"135","bully"
"136","caucus"
"137","child"
"138","crazy"
"139","cruzs"
"140","does"
"141","even"
"142","far"
"143","hate"
"144","iowacaucus"
"145","life"
"146","listen"
"147","maybe"
"148","oh"
"149","real"
"150","saying"
"151","second"
"152","seen"
"153","something"
"154","sue"
"155","take"
"156","thank"
"157","throws"
"158","todays"
"159","tweet"
"160","very"
"161","where"
"162","winning"
"163","words"
"164","2"
"165","admit"
"166","after"
"167","anything"
"168","bashing"
"169","beat"
"170","before"
"171","big"
"172","brilliant"
"173","carter"
"174","cnn"
"175","coining"
"176","coins"
"177","credit"
"178","dictionary"
"179","donalds"
"180","gotta"
"181","hillarysoprogressive"
"182","id"
"183","jimmy"
"184","keep"
"185","kids"
"186","looks"
"187","man"
"188","money"
"189","needs"
"190","nhprimary"
"191","nice"
"192","our"
"193","poor"
"194","race"
"195","read"
"196","rubio"
"197","sad"
"198","show"
"199","sore"
"200","stand"
"201","surprise"
"202","tag"
"203","thought"
"204","trying"
"205","using"
"206","voters"
"207","w"
"208","wait"
"209","whining"
"210","2nd"
"211","actually"
"212","always"
"213","americans"
"214","anyone"
"215","awesome"
"216","bernie"
"217","called"
"218","calling"
"219","came"
"220","campaigns"
"221","candidates"
"222","chief"
"223","classic"
"224","clever"
"225","coming"
"226","course"
"227","cruz2016"
"228","debate"
"229","dispicable"
"230","dumpthetrump"
"231","fair"
"232","faith"
"233","fcking"
"234","feel"
"235","following"
"236","friendsday"
"237","game"
"238","genius"
"239","god"
"240","gop"
"241","haha"
"242","hear"
"243","hilarious"
"244","himself"
"245","isnt"
"246","j"
"247","joins"
"248","lets"
"249","lies"
"250","lmao"
"251","loses"
"252","making"
"253","meyers"
"254","morning"
"255","peace"
"256","perfect"
"257","person"
"258","pileon"
"259","poll"
"260","put"
"261","school"
"262","seth"
"263","sorry"
"264","tell"
"265","temper"
"266","thanks"
"267","those"
"268","too"
"269","trumpservatives"
"270","via"
"271","votes"
"272","waiting"
"273","wakeupamerica"
"274","war"
"275","watching"
"276","well"
"277","won"
"278","wont"
"279","1st"
"280","accuses"
"281","accusing"
"282","adaytounite"
"283","add"
"284","almost"
"285","already"
"286","also"
"287","app"
"288","around"
"289","attention"
"290","behaved"
"291","believe"
"292","bible"
"293","blame"
"294","businessman"
"295","cannot"
"296","care"
"297","coined"
"298","compared"
"299","crybaby"
"300","dear"
"301","denmark"
"302","download"
"303","easy"
"304","embarrassing"
"305","every"
"306","explain"
"307","fact"
"308","feigns"
"309","follow"
"310","found"
"311","full"
"312","gets"
"313","giving"
"314","ground"
"315","guys"
"316","happy"
"317","hashtags"
"318","help"
"319","home"
"320","interface"
"321","keeps"
"322","kinda"
"323","knows"
"324","let"
"325","losertrump"
"326","lot"
"327","lying"
"328","marco"
"329","mean"
"330","media"
"331","mind"
"332","mocks"
"333","molester"
"334","mosquevisit"
"335","myself"
"336","nationalsigningday"
"337","next"
"338","nh"
"339","nobel"
"340","nobody"
"341","nominated"
"342","nomination"
"343","nonsense"
"344","note"
"345","nothing"
"346","npr"
"347","nuke"
"348","outrage"
"349","pjnet"
"350","plane"
"351","please"
"352","point"
"353","prize"
"354","problems"
"355","response"
"356","rich"
"357","run"
"358","running"
"359","same"
"360","seems"
"361","smile"
"362","spoiled"
"363","t"
"364","talk"
"365","talking"
"366","tantrump"
"367","telling"
"368","theyre"
"369","things"
"370","thinking"
"371","threw"
"372","top"
"373","trend"
"374","truly"
"375","twitters"
"376","u"
"377","used"
"378","voter"
"379","wasnt"
"380","whatever"
"381","whos"
"382","wins"
"383","wondering"
"384","yourself"
"385","2013"
"386","3"
"387","7"
"388","absolutely"
"389","accurate"
"390","act"
"391","acting"
"392","adults"
"393","advice"
"394","against"
"395","agree"
"396","aint"
"397","allegations"
"398","angry"
"399","answer"
"400","apsinthos"
"401","article"
"402","asshat"
"403","attacks"
"404","available"
"405","away"
"406","awww"
"407","b"
"408","bar"
"409","become"
"410","becoming"
"411","behind"
"412","berniesanders"
"413","beware"
"414","biggest"
"415","bigthree"
"416","blog"
"417","body"
"418","both"
"419","brat"
"420","breaking"
"421","bring"
"422","bs"
"423","bullshit"
"424","burns"
"425","bush"
"426","buy"
"427","canada"
"428","caucuses"
"429","caused"
"430","center"
"431","certain"
"432","cheat"
"433","cheater"
"434","childish"
"435","claim"
"436","class"
"437","clinton"
"438","clown"
"439","commander"
"440","common"
"441","cons"
"442","continues"
"443","corner"
"444","count"
"445","created"
"446","cruzfraud"
"447","crying"
"448","cure"
"449","d"
"450","da"
"451","days"
"452","decades"
"453","defeat"
"454","delegates"
"455","dems"
"456","denial"
"457","describe"
"458","deserve"
"459","dig"
"460","don"
"461","dr"
"462","due"
"463","dump"
"464","eating"
"465","elect"
"466","emergency"
"467","ended"
"468","enemy"
"469","enough"
"470","entire"
"471","envy"
"472","everything"
"473","exactly"
"474","face"
"475","fail"
"476","fall"
"477","fallon"
"478","fantastic"
"479","fart"
"480","fault"
"481","fed"
"482","feelthebern"
"483","fellow"
"484","finger"
"485","fingers"
"486","fired"
"487","fix"
"488","focus"
"489","forgot"
"490","forward"
"491","free"
"492","fuck"
"493","fucking"
"494","funniest"
"495","future"
"496","general"
"497","gif"
"498","girl"
"499","gonna"
"500","gop2016"
"501","guru"
"502","hahaha"
"503","hair"
"504","handle"
"505","happen"
"506","happened"
"507","happens"
"508","hard"
"509","hats"
"510","heard"
"511","heart"
"512","hed"
"513","high"
"514","hilariously"
"515","hillaryliesmatter"
"516","hours"
"517","imagine"
"518","ineverwanttoexperience"
"519","inquisitr"
"520","insult"
"521","insults"
"522","integrity"
"523","interesting"
"524","interview"
"525","invented"
"526","issues"
"527","ittrump2016"
"528","job"
"529","juvenile"
"530","kelly"
"531","knew"
"532","landing"
"533","last"
"534","lead"
"535","learn"
"536","learned"
"537","least"
"538","liars"
"539","liked"
