_date,total_clones,unique_clones
2021-07-22,1,1
2021-07-23,1,1
2021-07-24,1,1
2021-07-28,1,1
2021-07-29,1,1
2021-07-30,1,1
2021-07-31,1,1
2021-08-01,1,1
2021-08-02,1,1
2021-08-03,1,1
2021-08-05,8,5
2021-08-06,1,1
2021-08-09,1,1
2021-08-13,1,1
2021-08-16,3,3
2021-08-23,1,1
2021-08-26,1,1
2021-08-27,1,1
2021-08-29,1,1
2021-09-06,1,1
2021-09-08,1,1
2021-09-13,1,1
2021-09-15,1,1
2021-09-20,1,1
2021-09-27,2,2
2021-10-02,1,1
2021-10-04,1,1
2021-10-11,2,2
2021-10-14,1,1
2021-10-18,1,1
2021-10-21,9,2
2021-10-23,245,4
2021-10-25,3,2
2021-10-26,196,4
2021-10-27,2,1
